| epoch   0 |     1/   17 batches |ms/batch 7673.80 |avg loss 51.84
| epoch   0 |     2/   17 batches |ms/batch 3472.06 |avg loss 297.08
| epoch   0 |     3/   17 batches |ms/batch 3638.77 |avg loss 255.42
| epoch   0 |     4/   17 batches |ms/batch 3790.67 |avg loss 53.10
| epoch   0 |     5/   17 batches |ms/batch 4320.97 |avg loss 60.42
| epoch   0 |     6/   17 batches |ms/batch 3202.64 |avg loss 54.40
| epoch   0 |     7/   17 batches |ms/batch 4052.54 |avg loss 38.31
| epoch   0 |     8/   17 batches |ms/batch 3487.12 |avg loss 82.79
| epoch   0 |     9/   17 batches |ms/batch 2667.34 |avg loss 40.58
| epoch   0 |    10/   17 batches |ms/batch 2971.34 |avg loss 29.91
| epoch   0 |    11/   17 batches |ms/batch 2891.82 |avg loss 39.65
| epoch   0 |    12/   17 batches |ms/batch 2927.38 |avg loss 32.38
| epoch   0 |    13/   17 batches |ms/batch 3042.58 |avg loss 24.59
| epoch   0 |    14/   17 batches |ms/batch 2524.77 |avg loss 41.45
| epoch   0 |    15/   17 batches |ms/batch 2956.22 |avg loss 23.90
| epoch   0 |    16/   17 batches |ms/batch 2980.84 |avg loss 24.07
| epoch   1 |     1/   17 batches |ms/batch 6738.65 |avg loss 68.05
| epoch   1 |     2/   17 batches |ms/batch 3922.35 |avg loss 23.71
| epoch   1 |     3/   17 batches |ms/batch 3674.83 |avg loss 30.13
| epoch   1 |     4/   17 batches |ms/batch 3854.93 |avg loss 29.87
| epoch   1 |     5/   17 batches |ms/batch 3851.93 |avg loss 17.83
| epoch   1 |     6/   17 batches |ms/batch 3686.89 |avg loss 24.91
| epoch   1 |     7/   17 batches |ms/batch 3545.65 |avg loss 23.96
| epoch   1 |     8/   17 batches |ms/batch 3363.73 |avg loss 17.95
| epoch   1 |     9/   17 batches |ms/batch 3159.54 |avg loss 12.63
| epoch   1 |    10/   17 batches |ms/batch 3032.26 |avg loss 13.97
| epoch   1 |    11/   17 batches |ms/batch 2964.23 |avg loss 20.85
| epoch   1 |    12/   17 batches |ms/batch 2490.54 |avg loss 15.43
| epoch   1 |    13/   17 batches |ms/batch 2952.67 |avg loss 10.91
| epoch   1 |    14/   17 batches |ms/batch 3035.85 |avg loss 21.56
| epoch   1 |    15/   17 batches |ms/batch 3063.21 |avg loss 17.63
| epoch   1 |    16/   17 batches |ms/batch 2584.41 |avg loss 10.75
| epoch   2 |     1/   17 batches |ms/batch 6794.33 |avg loss 23.96
| epoch   2 |     2/   17 batches |ms/batch 3935.36 |avg loss 11.63
| epoch   2 |     3/   17 batches |ms/batch 3559.42 |avg loss 11.69
| epoch   2 |     4/   17 batches |ms/batch 3809.08 |avg loss 10.71
| epoch   2 |     5/   17 batches |ms/batch 3780.13 |avg loss  9.34
| epoch   2 |     6/   17 batches |ms/batch 4106.60 |avg loss 10.28
| epoch   2 |     7/   17 batches |ms/batch 3621.82 |avg loss  8.50
| epoch   2 |     8/   17 batches |ms/batch 3451.46 |avg loss  7.70
| epoch   2 |     9/   17 batches |ms/batch 2753.30 |avg loss  8.27
| epoch   2 |    10/   17 batches |ms/batch 2982.35 |avg loss  8.54
| epoch   2 |    11/   17 batches |ms/batch 2910.02 |avg loss  8.58
| epoch   2 |    12/   17 batches |ms/batch 2958.88 |avg loss  6.96
| epoch   2 |    13/   17 batches |ms/batch 2532.57 |avg loss  7.26
| epoch   2 |    14/   17 batches |ms/batch 2962.05 |avg loss  6.61
| epoch   2 |    15/   17 batches |ms/batch 2979.75 |avg loss  7.12
| epoch   2 |    16/   17 batches |ms/batch 2992.02 |avg loss  6.93
| epoch   3 |     1/   17 batches |ms/batch 6744.24 |avg loss 12.66
| epoch   3 |     2/   17 batches |ms/batch 3400.66 |avg loss  5.32
| epoch   3 |     3/   17 batches |ms/batch 4064.65 |avg loss  5.52
| epoch   3 |     4/   17 batches |ms/batch 3818.67 |avg loss  6.02
| epoch   3 |     5/   17 batches |ms/batch 3778.86 |avg loss  5.42
| epoch   3 |     6/   17 batches |ms/batch 4125.25 |avg loss  4.79
| epoch   3 |     7/   17 batches |ms/batch 3637.57 |avg loss  5.11
| epoch   3 |     8/   17 batches |ms/batch 2939.63 |avg loss  4.85
| epoch   3 |     9/   17 batches |ms/batch 3105.39 |avg loss  5.07
| epoch   3 |    10/   17 batches |ms/batch 3023.78 |avg loss  4.49
| epoch   3 |    11/   17 batches |ms/batch 2906.29 |avg loss  4.24
| epoch   3 |    12/   17 batches |ms/batch 2959.07 |avg loss  4.26
| epoch   3 |    13/   17 batches |ms/batch 2533.22 |avg loss  4.26
| epoch   3 |    14/   17 batches |ms/batch 2956.52 |avg loss  5.52
| epoch   3 |    15/   17 batches |ms/batch 2977.68 |avg loss  4.09
| epoch   3 |    16/   17 batches |ms/batch 3011.60 |avg loss  4.10
| epoch   4 |     1/   17 batches |ms/batch 6715.31 |avg loss  8.09
| epoch   4 |     2/   17 batches |ms/batch 3931.99 |avg loss  4.24
| epoch   4 |     3/   17 batches |ms/batch 3665.85 |avg loss  3.87
| epoch   4 |     4/   17 batches |ms/batch 3856.21 |avg loss  4.01
| epoch   4 |     5/   17 batches |ms/batch 3850.58 |avg loss  3.84
| epoch   4 |     6/   17 batches |ms/batch 3688.87 |avg loss  3.34
| epoch   4 |     7/   17 batches |ms/batch 3557.78 |avg loss  3.34
| epoch   4 |     8/   17 batches |ms/batch 3371.98 |avg loss  3.19
| epoch   4 |     9/   17 batches |ms/batch 3166.48 |avg loss  3.16
| epoch   4 |    10/   17 batches |ms/batch 3035.50 |avg loss  3.36
| epoch   4 |    11/   17 batches |ms/batch 2976.93 |avg loss  2.83
| epoch   4 |    12/   17 batches |ms/batch 2419.43 |avg loss  3.08
| epoch   4 |    13/   17 batches |ms/batch 2907.00 |avg loss  2.83
| epoch   4 |    14/   17 batches |ms/batch 2998.59 |avg loss  2.87
| epoch   4 |    15/   17 batches |ms/batch 2999.39 |avg loss  3.17
| epoch   4 |    16/   17 batches |ms/batch 3043.00 |avg loss  2.74
| epoch   5 |     1/   17 batches |ms/batch 6831.93 |avg loss  5.41
| epoch   5 |     2/   17 batches |ms/batch 3417.67 |avg loss  2.59
| epoch   5 |     3/   17 batches |ms/batch 3559.11 |avg loss  2.56
| epoch   5 |     4/   17 batches |ms/batch 4209.02 |avg loss  2.52
| epoch   5 |     5/   17 batches |ms/batch 3802.51 |avg loss  2.40
| epoch   5 |     6/   17 batches |ms/batch 3605.47 |avg loss  2.43
