| epoch   5 |     3/   17 batches |ms/batch 3582.16 |avg loss 2395.24
| epoch   5 |     4/   17 batches |ms/batch 4240.34 |avg loss 2713.68
| epoch   5 |     5/   17 batches |ms/batch 3839.36 |avg loss 2509.01
| epoch   5 |     6/   17 batches |ms/batch 3632.00 |avg loss 2298.45
| epoch   5 |     7/   17 batches |ms/batch 4087.59 |avg loss 2183.98
| epoch   5 |     8/   17 batches |ms/batch 3510.42 |avg loss 1817.41
| epoch   5 |     9/   17 batches |ms/batch 2698.82 |avg loss 1568.34
| epoch   5 |    10/   17 batches |ms/batch 2994.52 |avg loss 1317.83
| epoch   5 |    11/   17 batches |ms/batch 2906.60 |avg loss 1224.66
| epoch   5 |    12/   17 batches |ms/batch 2954.93 |avg loss 1278.14
| epoch   5 |    13/   17 batches |ms/batch 3044.65 |avg loss 1340.91
| epoch   5 |    14/   17 batches |ms/batch 2617.00 |avg loss 1457.06
| epoch   5 |    15/   17 batches |ms/batch 2991.44 |avg loss 1444.65
| epoch   5 |    16/   17 batches |ms/batch 3020.08 |avg loss 1558.60
| epoch   6 |     1/   17 batches |ms/batch 6775.67 |avg loss 4379.45
| epoch   6 |     2/   17 batches |ms/batch 3951.76 |avg loss 2305.44
| epoch   6 |     3/   17 batches |ms/batch 3700.43 |avg loss 2403.40
| epoch   6 |     4/   17 batches |ms/batch 3886.54 |avg loss 2684.29
| epoch   6 |     5/   17 batches |ms/batch 3890.17 |avg loss 2500.47
| epoch   6 |     6/   17 batches |ms/batch 3720.24 |avg loss 2308.38
| epoch   6 |     7/   17 batches |ms/batch 3582.39 |avg loss 2182.63
| epoch   6 |     8/   17 batches |ms/batch 3398.27 |avg loss 1814.17
| epoch   6 |     9/   17 batches |ms/batch 3200.59 |avg loss 1557.44
| epoch   6 |    10/   17 batches |ms/batch 3076.73 |avg loss 1311.70
| epoch   6 |    11/   17 batches |ms/batch 3005.37 |avg loss 1223.95
| epoch   6 |    12/   17 batches |ms/batch 2445.26 |avg loss 1268.09
| epoch   6 |    13/   17 batches |ms/batch 2935.31 |avg loss 1334.74
| epoch   6 |    14/   17 batches |ms/batch 3021.80 |avg loss 1461.75
| epoch   6 |    15/   17 batches |ms/batch 3031.76 |avg loss 1435.86
| epoch   6 |    16/   17 batches |ms/batch 3076.23 |avg loss 1549.74
| epoch   7 |     1/   17 batches |ms/batch 6892.60 |avg loss 4355.61
| epoch   7 |     2/   17 batches |ms/batch 3445.71 |avg loss 2304.28
| epoch   7 |     3/   17 batches |ms/batch 3584.44 |avg loss 2388.06
| epoch   7 |     4/   17 batches |ms/batch 4243.22 |avg loss 2672.57
| epoch   7 |     5/   17 batches |ms/batch 3829.30 |avg loss 2540.38
| epoch   7 |     6/   17 batches |ms/batch 3630.09 |avg loss 2329.23
| epoch   7 |     7/   17 batches |ms/batch 4087.18 |avg loss 2165.22
| epoch   7 |     8/   17 batches |ms/batch 3511.93 |avg loss 1820.76
| epoch   7 |     9/   17 batches |ms/batch 2690.41 |avg loss 1553.69
| epoch   7 |    10/   17 batches |ms/batch 2984.56 |avg loss 1318.09
| epoch   7 |    11/   17 batches |ms/batch 2906.05 |avg loss 1207.95
| epoch   7 |    12/   17 batches |ms/batch 2945.14 |avg loss 1264.46
| epoch   7 |    13/   17 batches |ms/batch 3048.77 |avg loss 1337.32
| epoch   7 |    14/   17 batches |ms/batch 2616.61 |avg loss 1460.70
| epoch   7 |    15/   17 batches |ms/batch 2989.09 |avg loss 1440.57
| epoch   7 |    16/   17 batches |ms/batch 3019.51 |avg loss 1561.60
| epoch   8 |     1/   17 batches |ms/batch 6771.48 |avg loss 4345.55
| epoch   8 |     2/   17 batches |ms/batch 3945.77 |avg loss 2315.79
| epoch   8 |     3/   17 batches |ms/batch 3708.43 |avg loss 2424.72
| epoch   8 |     4/   17 batches |ms/batch 3881.64 |avg loss 2660.74
| epoch   8 |     5/   17 batches |ms/batch 3883.90 |avg loss 2502.75
| epoch   8 |     6/   17 batches |ms/batch 3704.38 |avg loss 2287.31
| epoch   8 |     7/   17 batches |ms/batch 3588.76 |avg loss 2204.06
| epoch   8 |     8/   17 batches |ms/batch 3394.73 |avg loss 1818.70
| epoch   8 |     9/   17 batches |ms/batch 3189.70 |avg loss 1574.16
| epoch   8 |    10/   17 batches |ms/batch 3060.06 |avg loss 1316.68
| epoch   8 |    11/   17 batches |ms/batch 2999.90 |avg loss 1223.54
| epoch   8 |    12/   17 batches |ms/batch 2436.31 |avg loss 1268.22
| epoch   8 |    13/   17 batches |ms/batch 2931.49 |avg loss 1333.05
| epoch   8 |    14/   17 batches |ms/batch 3013.83 |avg loss 1452.42
| epoch   8 |    15/   17 batches |ms/batch 3035.20 |avg loss 1440.63
| epoch   8 |    16/   17 batches |ms/batch 3065.58 |avg loss 1556.80
| epoch   9 |     1/   17 batches |ms/batch 6877.50 |avg loss 4361.92
| epoch   9 |     2/   17 batches |ms/batch 3438.38 |avg loss 2297.99
| epoch   9 |     3/   17 batches |ms/batch 3577.85 |avg loss 2390.73
| epoch   9 |     4/   17 batches |ms/batch 4235.33 |avg loss 2702.09
| epoch   9 |     5/   17 batches |ms/batch 3831.50 |avg loss 2497.28
| epoch   9 |     6/   17 batches |ms/batch 3626.01 |avg loss 2332.59
| epoch   9 |     7/   17 batches |ms/batch 4089.52 |avg loss 2204.45
| epoch   9 |     8/   17 batches |ms/batch 3502.28 |avg loss 1813.61
| epoch   9 |     9/   17 batches |ms/batch 2695.29 |avg loss 1540.30
| epoch   9 |    10/   17 batches |ms/batch 2989.17 |avg loss 1306.42
| epoch   9 |    11/   17 batches |ms/batch 2902.77 |avg loss 1225.54
| epoch   9 |    12/   17 batches |ms/batch 2950.82 |avg loss 1274.96
| epoch   9 |    13/   17 batches |ms/batch 3056.46 |avg loss 1331.32
| epoch   9 |    14/   17 batches |ms/batch 2619.32 |avg loss 1446.20
| epoch   9 |    15/   17 batches |ms/batch 2989.39 |avg loss 1439.30
| epoch   9 |    16/   17 batches |ms/batch 3016.55 |avg loss 1528.79
| epoch  10 |     1/   17 batches |ms/batch 6776.37 |avg loss 4371.63
| epoch  10 |     2/   17 batches |ms/batch 3948.56 |avg loss 2338.52
| epoch  10 |     3/   17 batches |ms/batch 3698.75 |avg loss 2421.33
| epoch  10 |     4/   17 batches |ms/batch 3883.17 |avg loss 2631.72
| epoch  10 |     5/   17 batches |ms/batch 3891.58 |avg loss 2456.38
| epoch  10 |     6/   17 batches |ms/batch 3706.54 |avg loss 2263.26
| epoch  10 |     7/   17 batches |ms/batch 3585.69 |avg loss 2220.43
| epoch  10 |     8/   17 batches |ms/batch 3397.32 |avg loss 1808.17
| epoch  10 |     9/   17 batches |ms/batch 3192.00 |avg loss 1587.46
| epoch  10 |    10/   17 batches |ms/batch 3057.47 |avg loss 1304.90
| epoch  10 |    11/   17 batches |ms/batch 3001.19 |avg loss 1197.77
| epoch  10 |    12/   17 batches |ms/batch 2437.47 |avg loss 1258.85
| epoch  10 |    13/   17 batches |ms/batch 2929.00 |avg loss 1326.65
| epoch  10 |    14/   17 batches |ms/batch 3014.49 |avg loss 1458.80
| epoch  10 |    15/   17 batches |ms/batch 3031.42 |avg loss 1448.44
| epoch  10 |    16/   17 batches |ms/batch 3065.24 |avg loss 1543.22
| epoch  11 |     1/   17 batches |ms/batch 6876.85 |avg loss 4390.71
| epoch  11 |     2/   17 batches |ms/batch 3446.16 |avg loss 2289.87
| epoch  11 |     3/   17 batches |ms/batch 3577.26 |avg loss 2322.63
| epoch  11 |     4/   17 batches |ms/batch 4233.76 |avg loss 2618.69
| epoch  11 |     5/   17 batches |ms/batch 3829.33 |avg loss 2555.58
| epoch  11 |     6/   17 batches |ms/batch 3631.51 |avg loss 2245.59
| epoch  11 |     7/   17 batches |ms/batch 4084.75 |avg loss 2150.33
| epoch  11 |     8/   17 batches |ms/batch 3500.80 |avg loss 1877.04
| epoch  11 |     9/   17 batches |ms/batch 2688.32 |avg loss 1556.17
| epoch  11 |    10/   17 batches |ms/batch 2985.60 |avg loss 1263.76
| epoch  11 |    11/   17 batches |ms/batch 2901.64 |avg loss 1235.72
| epoch  11 |    12/   17 batches |ms/batch 2948.02 |avg loss 1237.13
| epoch  11 |    13/   17 batches |ms/batch 3042.91 |avg loss 1328.66
| epoch  11 |    14/   17 batches |ms/batch 2621.53 |avg loss 1445.09
| epoch  11 |    15/   17 batches |ms/batch 2993.03 |avg loss 1407.51
| epoch  11 |    16/   17 batches |ms/batch 3017.42 |avg loss 1530.80
| epoch  12 |     1/   17 batches |ms/batch 6767.07 |avg loss 4399.88
| epoch  12 |     2/   17 batches |ms/batch 3951.95 |avg loss 2327.52
| epoch  12 |     3/   17 batches |ms/batch 3697.25 |avg loss 2384.10
| epoch  12 |     4/   17 batches |ms/batch 3883.85 |avg loss 2726.35
| epoch  12 |     5/   17 batches |ms/batch 3887.68 |avg loss 2428.96
| epoch  12 |     6/   17 batches |ms/batch 3714.27 |avg loss 2307.20
| epoch  12 |     7/   17 batches |ms/batch 3586.42 |avg loss 2095.21
| epoch  12 |     8/   17 batches |ms/batch 3394.38 |avg loss 1814.17
| epoch  12 |     9/   17 batches |ms/batch 3191.07 |avg loss 1542.07
| epoch  12 |    10/   17 batches |ms/batch 3054.90 |avg loss 1313.25
| epoch  12 |    11/   17 batches |ms/batch 3004.18 |avg loss 1203.31
| epoch  12 |    12/   17 batches |ms/batch 2439.26 |avg loss 1244.15
| epoch  12 |    13/   17 batches |ms/batch 2936.68 |avg loss 1333.90
| epoch  12 |    14/   17 batches |ms/batch 3016.49 |avg loss 1475.47
| epoch  12 |    15/   17 batches |ms/batch 3033.77 |avg loss 1455.79
| epoch  12 |    16/   17 batches |ms/batch 3069.41 |avg loss 1557.82
| epoch  13 |     1/   17 batches |ms/batch 6887.44 |avg loss 4389.78
| epoch  13 |     2/   17 batches |ms/batch 3448.38 |avg loss 2351.32
