| epoch   5 |     5/   17 batches |ms/batch 3862.62 |avg loss  2.42
| epoch   5 |     6/   17 batches |ms/batch 3652.53 |avg loss  2.68
| epoch   5 |     7/   17 batches |ms/batch 4107.71 |avg loss  2.17
| epoch   5 |     8/   17 batches |ms/batch 3522.47 |avg loss  2.06
| epoch   5 |     9/   17 batches |ms/batch 2715.48 |avg loss  2.49
| epoch   5 |    10/   17 batches |ms/batch 3006.41 |avg loss  1.97
| epoch   5 |    11/   17 batches |ms/batch 2923.50 |avg loss  1.82
| epoch   5 |    12/   17 batches |ms/batch 2977.76 |avg loss  1.92
| epoch   5 |    13/   17 batches |ms/batch 3069.97 |avg loss  2.00
| epoch   5 |    14/   17 batches |ms/batch 2637.67 |avg loss  1.70
| epoch   5 |    15/   17 batches |ms/batch 3014.19 |avg loss  1.77
| epoch   5 |    16/   17 batches |ms/batch 3039.41 |avg loss  1.71
| epoch   6 |     1/   17 batches |ms/batch 6833.24 |avg loss  3.33
| epoch   6 |     2/   17 batches |ms/batch 3974.27 |avg loss  1.58
| epoch   6 |     3/   17 batches |ms/batch 3732.76 |avg loss  1.70
| epoch   6 |     4/   17 batches |ms/batch 3923.33 |avg loss  1.54
| epoch   6 |     5/   17 batches |ms/batch 3919.52 |avg loss  1.56
| epoch   6 |     6/   17 batches |ms/batch 3742.53 |avg loss  1.49
| epoch   6 |     7/   17 batches |ms/batch 3607.92 |avg loss  1.50
| epoch   6 |     8/   17 batches |ms/batch 3425.38 |avg loss  1.40
| epoch   6 |     9/   17 batches |ms/batch 3217.06 |avg loss  1.40
| epoch   6 |    10/   17 batches |ms/batch 3083.48 |avg loss  1.40
| epoch   6 |    11/   17 batches |ms/batch 3020.91 |avg loss  1.30
| epoch   6 |    12/   17 batches |ms/batch 2458.89 |avg loss  1.27
| epoch   6 |    13/   17 batches |ms/batch 2961.71 |avg loss  1.24
| epoch   6 |    14/   17 batches |ms/batch 3042.50 |avg loss  1.20
| epoch   6 |    15/   17 batches |ms/batch 3055.61 |avg loss  1.15
| epoch   6 |    16/   17 batches |ms/batch 3090.40 |avg loss  1.14
