| epoch   0 |     1/   17 batches |ms/batch 7188.88 |avg loss 4526.28
| epoch   0 |     2/   17 batches |ms/batch 3499.26 |avg loss 2473.33
| epoch   0 |     3/   17 batches |ms/batch 3634.53 |avg loss 2596.38
| epoch   0 |     4/   17 batches |ms/batch 3794.93 |avg loss 2918.10
| epoch   0 |     5/   17 batches |ms/batch 4336.08 |avg loss 2765.09
| epoch   0 |     6/   17 batches |ms/batch 3213.38 |avg loss 2506.36
| epoch   0 |     7/   17 batches |ms/batch 4063.14 |avg loss 2396.85
| epoch   0 |     8/   17 batches |ms/batch 3493.86 |avg loss 1956.53
| epoch   0 |     9/   17 batches |ms/batch 2658.06 |avg loss 1656.02
| epoch   0 |    10/   17 batches |ms/batch 2974.85 |avg loss 1391.91
| epoch   0 |    11/   17 batches |ms/batch 2893.59 |avg loss 1286.78
| epoch   0 |    12/   17 batches |ms/batch 2949.78 |avg loss 1331.26
| epoch   0 |    13/   17 batches |ms/batch 3052.24 |avg loss 1406.77
| epoch   0 |    14/   17 batches |ms/batch 2517.18 |avg loss 1484.22
| epoch   0 |    15/   17 batches |ms/batch 2951.55 |avg loss 1443.88
| epoch   0 |    16/   17 batches |ms/batch 2992.63 |avg loss 1538.12
| epoch   1 |     1/   17 batches |ms/batch 6746.76 |avg loss 4454.15
| epoch   1 |     2/   17 batches |ms/batch 3944.04 |avg loss 2357.74
| epoch   1 |     3/   17 batches |ms/batch 3685.58 |avg loss 2475.57
| epoch   1 |     4/   17 batches |ms/batch 3858.29 |avg loss 2757.13
| epoch   1 |     5/   17 batches |ms/batch 3865.96 |avg loss 2582.43
| epoch   1 |     6/   17 batches |ms/batch 3692.87 |avg loss 2355.40
| epoch   1 |     7/   17 batches |ms/batch 3553.06 |avg loss 2250.44
| epoch   1 |     8/   17 batches |ms/batch 3364.72 |avg loss 1836.62
| epoch   1 |     9/   17 batches |ms/batch 3170.29 |avg loss 1573.66
| epoch   1 |    10/   17 batches |ms/batch 3028.48 |avg loss 1295.94
| epoch   1 |    11/   17 batches |ms/batch 2979.04 |avg loss 1226.59
| epoch   1 |    12/   17 batches |ms/batch 2496.53 |avg loss 1273.39
| epoch   1 |    13/   17 batches |ms/batch 2957.05 |avg loss 1354.61
| epoch   1 |    14/   17 batches |ms/batch 3044.46 |avg loss 1460.29
| epoch   1 |    15/   17 batches |ms/batch 3071.09 |avg loss 1443.48
| epoch   1 |    16/   17 batches |ms/batch 2593.20 |avg loss 1552.14
| epoch   2 |     1/   17 batches |ms/batch 6822.16 |avg loss 4285.29
| epoch   2 |     2/   17 batches |ms/batch 3963.20 |avg loss 2291.67
| epoch   2 |     3/   17 batches |ms/batch 3560.98 |avg loss 2414.55
| epoch   2 |     4/   17 batches |ms/batch 3809.10 |avg loss 2662.13
| epoch   2 |     5/   17 batches |ms/batch 3791.62 |avg loss 2522.93
| epoch   2 |     6/   17 batches |ms/batch 4107.01 |avg loss 2360.76
| epoch   2 |     7/   17 batches |ms/batch 3615.65 |avg loss 2142.56
| epoch   2 |     8/   17 batches |ms/batch 3465.30 |avg loss 1815.20
| epoch   2 |     9/   17 batches |ms/batch 2747.82 |avg loss 1544.40
| epoch   2 |    10/   17 batches |ms/batch 2991.19 |avg loss 1288.47
| epoch   2 |    11/   17 batches |ms/batch 2923.37 |avg loss 1230.71
| epoch   2 |    12/   17 batches |ms/batch 2964.48 |avg loss 1283.06
| epoch   2 |    13/   17 batches |ms/batch 2531.49 |avg loss 1316.49
| epoch   2 |    14/   17 batches |ms/batch 2972.45 |avg loss 1454.15
| epoch   2 |    15/   17 batches |ms/batch 2984.11 |avg loss 1403.81
| epoch   2 |    16/   17 batches |ms/batch 2998.03 |avg loss 1529.02
| epoch   3 |     1/   17 batches |ms/batch 6785.70 |avg loss 4230.68
| epoch   3 |     2/   17 batches |ms/batch 3424.02 |avg loss 2268.19
| epoch   3 |     3/   17 batches |ms/batch 4080.39 |avg loss 2358.37
| epoch   3 |     4/   17 batches |ms/batch 3811.66 |avg loss 2686.16
| epoch   3 |     5/   17 batches |ms/batch 3789.15 |avg loss 2504.64
| epoch   3 |     6/   17 batches |ms/batch 4148.12 |avg loss 2164.93
| epoch   3 |     7/   17 batches |ms/batch 3671.68 |avg loss 2075.46
| epoch   3 |     8/   17 batches |ms/batch 2938.97 |avg loss 1784.59
| epoch   3 |     9/   17 batches |ms/batch 3117.03 |avg loss 1495.18
| epoch   3 |    10/   17 batches |ms/batch 3035.20 |avg loss 1241.58
| epoch   3 |    11/   17 batches |ms/batch 2925.07 |avg loss 1180.07
| epoch   3 |    12/   17 batches |ms/batch 2967.26 |avg loss 1275.58
| epoch   3 |    13/   17 batches |ms/batch 2537.85 |avg loss 1334.10
| epoch   3 |    14/   17 batches |ms/batch 2961.75 |avg loss 1463.83
| epoch   3 |    15/   17 batches |ms/batch 2977.04 |avg loss 1449.91
| epoch   3 |    16/   17 batches |ms/batch 3027.43 |avg loss 1518.48
| epoch   4 |     1/   17 batches |ms/batch 6713.87 |avg loss 4270.75
| epoch   4 |     2/   17 batches |ms/batch 3933.13 |avg loss 2207.07
| epoch   4 |     3/   17 batches |ms/batch 3688.31 |avg loss 2267.92
| epoch   4 |     4/   17 batches |ms/batch 3870.42 |avg loss 2421.34
| epoch   4 |     5/   17 batches |ms/batch 3861.52 |avg loss 2443.68
| epoch   4 |     6/   17 batches |ms/batch 3695.98 |avg loss 2089.43
| epoch   4 |     7/   17 batches |ms/batch 3583.16 |avg loss 2055.31
| epoch   4 |     8/   17 batches |ms/batch 3377.69 |avg loss 1801.59
| epoch   4 |     9/   17 batches |ms/batch 3194.47 |avg loss 1593.31
| epoch   4 |    10/   17 batches |ms/batch 3032.25 |avg loss 1192.45
| epoch   4 |    11/   17 batches |ms/batch 2985.97 |avg loss 1094.52
| epoch   4 |    12/   17 batches |ms/batch 2414.17 |avg loss 1252.68
| epoch   4 |    13/   17 batches |ms/batch 2907.03 |avg loss 1338.26
| epoch   4 |    14/   17 batches |ms/batch 3001.17 |avg loss 1425.26
| epoch   4 |    15/   17 batches |ms/batch 3024.09 |avg loss 1392.24
| epoch   4 |    16/   17 batches |ms/batch 3057.65 |avg loss 1486.78
| epoch   5 |     1/   17 batches |ms/batch 6839.21 |avg loss 4193.20
| epoch   5 |     2/   17 batches |ms/batch 3441.24 |avg loss 2283.81
| epoch   5 |     3/   17 batches |ms/batch 3579.16 |avg loss 2276.71
| epoch   5 |     4/   17 batches |ms/batch 4215.49 |avg loss 2521.11
| epoch   5 |     5/   17 batches |ms/batch 3810.27 |avg loss 2335.81
| epoch   5 |     6/   17 batches |ms/batch 3604.83 |avg loss 2118.59
| epoch   5 |     7/   17 batches |ms/batch 4085.05 |avg loss 2059.89
| epoch   5 |     8/   17 batches |ms/batch 3508.65 |avg loss 1706.52
| epoch   5 |     9/   17 batches |ms/batch 2662.05 |avg loss 1533.61
| epoch   5 |    10/   17 batches |ms/batch 2971.52 |avg loss 1207.86
| epoch   5 |    11/   17 batches |ms/batch 2874.71 |avg loss 1175.32
| epoch   5 |    12/   17 batches |ms/batch 2934.76 |avg loss 1224.97
| epoch   5 |    13/   17 batches |ms/batch 3039.07 |avg loss 1310.19
| epoch   5 |    14/   17 batches |ms/batch 2592.17 |avg loss 1375.42
| epoch   5 |    15/   17 batches |ms/batch 2976.40 |avg loss 1438.38
| epoch   5 |    16/   17 batches |ms/batch 3012.90 |avg loss 1484.39
